Tipo;Notícia;Link
Principal;Internações por Covid crescem 40% em duas semanas em SP;"https://g1.globo.com/sp/sao-paulo/noticia/2020/11/23/internacoes-por-covid-19-em-sp-crescem-17percent-na-ultima-semana-apos-aumento-de-18percent-na-semana-anterior-governo-nega-2a-onda.ghtml"
Principal;'Quadro estável', diz médico sobre Terra com Covid;"https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/11/23/osmar-terra-esta-estavel-informa-hospital-onde-deputado-esta-internado-em-porto-alegre.ghtml"
Principal;Michigan impõe revés a Trump ao certificar Biden;"https://g1.globo.com/mundo/eleicoes-nos-eua/2020/noticia/2020/11/23/michigan-certifica-vitoria-de-joe-biden-estado.ghtml"
Principal;Indiciada por ofensas não tem registro na OAB;"https://g1.globo.com/sp/sao-paulo/noticia/2020/11/23/mulher-indiciada-por-ofender-e-agredir-funcionarios-e-clientes-de-padaria-em-sp-nao-tem-registro-de-advogada-na-oab.ghtml"
Principal;'Não existe', diz Guedes sobre prorrogar auxílio;"https://g1.globo.com/economia/noticia/2020/11/23/do-ponto-de-vista-do-governo-nao-havera-prorrogacao-do-auxilio-emergencial-diz-paulo-guedes.ghtml"
Principal;Demanda por vôos domésticos sobe 31% no mês;"https://g1.globo.com/economia/noticia/2020/11/23/demanda-por-voos-domesticos-cresceu-31percent-em-outubro-aponta-abear.ghtml"
Principal;Ibope Fortaleza: Sarto tem 53%, e Cap.Wagner, 35%;"https://g1.globo.com/ce/ceara/eleicoes/2020/noticia/2020/11/23/pesquisa-ibope-para-2o-turno-em-fortaleza-sarto-53percent-capitao-wagner-35percent.ghtml"
Principal;Sport encara o Atlético-GO pelo Brasileirão; pré-jogo;"https://globoesporte.globo.com/pe/futebol/brasileirao-serie-a/jogo/23-11-2020/sport-atletico-go.ghtml"
Principal;Após cobrança do Galo, CBF admite: 'Erro claro, óbvio';"https://globoesporte.globo.com/futebol/times/atletico-mg/noticia/apos-cobranca-do-atletico-mg-sobre-penalti-nao-marcado-cbf-admite-erro-claro-obvio.ghtml"
Principal;Corinthians tem de pagar R$ 22,1 mi por uso indevido de rua;"https://globoesporte.globo.com/futebol/times/corinthians/noticia/justica-da-15-dias-para-corinthians-pagar-r-221-milhoes-por-indevido-uso-de-rua-clube-tenta-acordo.ghtml"
Principal;Elenco de 'Órfãos da Terra' celebra Emmy Internacional: 'Nosso';"https://revistaquem.globo.com/QUEM-News/noticia/2020/11/elenco-de-orfaos-da-terra-celebra-emmy-internacional-emocionada-demais.html"
