Titulo;Link
Boulos testa positivo para Covid, e debate da Globo em SP é cancelado;https://g1.globo.com/sp/sao-paulo/eleicoes/2020/noticia/2020/11/27/boulos-e-diagnosticado-com-covid-19.ghtml
G1 transmite hoje debates da Globo e afiliadas em outras 33 cidades;https://g1.globo.com/politica/eleicoes/2020/noticia/2020/11/27/tv-globo-e-afiliadas-realizam-debates-no-segundo-turno-em-35-cidades.ghtml
Moraes pede que PGR opine após Bolsonaro desistir de depoimento;https://g1.globo.com/politica/noticia/2020/11/27/moraes-prorroga-inquerito-que-apura-se-bolsonaro-interferiu-na-pf-e-da-5-dias-para-pgr-opinar-sobre-depoimento.ghtml
Moro diz ter ouvido de ministros que Carlos Bolsonaro é ligado a 'gabinete do ódio';https://g1.globo.com/politica/noticia/2020/11/27/moro-diz-a-pf-ter-ouvido-de-ministros-que-carlos-bolsonaro-era-ligado-a-gabinete-do-odio.ghtml
Operação da PF mira grupo que pede prisão de ministros do Supremo;https://g1.globo.com/df/distrito-federal/noticia/2020/11/27/pf-faz-operacao-contra-grupo-que-pede-intervencao-militar-e-prisao-de-ministros-do-stf.ghtml
Segurança depõe e diz que intenção era imobilizar João Alberto;https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/11/27/seguranca-preso-pela-morte-de-joao-alberto-diz-que-nao-houve-discussao-antes-das-agressoes-em-supermercado-no-rs.ghtml
Governador de SC é absolvido de impeachment e retoma cargo;https://g1.globo.com/sc/santa-catarina/noticia/2020/11/27/governador-de-sc-carlos-moises-e-absolvido-em-julgamento-e-continua-no-cargo.ghtml
Governador do RS declara alto risco de contágio da Covid em todo o estado;https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/11/27/com-todas-as-regioes-em-bandeira-vermelha-governador-do-rs-diz-estamos-vivendo-uma-segunda-onda-do-coronavirus.ghtml
Cidade do Rio atinge 94% de ocupação nas UTIs de Covid do SUS;https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/11/27/ocupacao-de-leitos-de-uti-para-pacientes-com-covid-19-atinge-94percent-na-rede-sus-e-mais-de-90percent-nos-hospitais-privados.ghtml
Ibope em Cuiabá, votos válidos: Abilio e Emanuel Pinheiro têm 50% cada;https://g1.globo.com/mt/mato-grosso/eleicoes/2020/noticia/2020/11/27/pesquisa-ibope-para-2o-turno-em-cuiaba-votos-validos-abilio-50percent-emanuel-pinheiro-50percent.ghtml
