Titulo;Link
Rio já tem fila de espera de dias por UTI para covid-19 e está à beira de novo colapso;https://www1.folha.uol.com.br/equilibrioesaude/2020/11/rio-ja-tem-espera-de-dias-por-uti-e-esta-a-beira-de-novo-colapso.shtml
Motorista de ônibus de acidente com 41 mortes sofre ameaça, diz polícia;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/11/27/motorista-de-onibus-sofre-ameacas-e-esta-em-local-seguro-diz-policia.htm
Governo diz que IOF é para conta de luz do Amapá, mas vai 'sobrar' R$ 1,9 bi;https://economia.uol.com.br/colunas/carla-araujo/2020/11/27/iof-amapa-guedes-arrecadacao-impostos-falta-plano.htm
Em depoimento de 4 h, PM diz que intenção era imobilizar João Alberto no Carrefour;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/11/27/seguranca-depoimento-caso-joao-alberto.htm
Moraes prorroga por 60 dias inquérito que investiga o presidente Bolsonaro;http://noticias.uol.com.br/politica/ultimas-noticias/2020/11/27/stf-da-5-dias-para-pgr-opinar-sobre-necessidade-de-depoimento-de-bolsonaro.htm
Fim de Maradona foi marcado por tentativa de reatar namoro;https://www.uol.com.br/esporte/colunas/tales-torraga/2020/11/27/fim-de-namoro-originou-agonia-final-de-maradona.htm 
'Nunca fale assim com o presidente', diz Trump ao se irritar com repórter;https://noticias.uol.com.br/internacional/ultimas-noticias/2020/11/27/nunca-fale-assim-com-o-presidente-diz-trump-ao-se-irritar-com-reporter.htm
Governador de SC diz não haver 'justa causa' para pedidos de impeachment;http://noticias.uol.com.br/politica/ultimas-noticias/2020/11/27/governdor-de-sc-diz-nao-haver-justa-causa-para-pedidos-de-impeachment.htm
Quem filmou agressão de certa forma disse 'vem, não há lobo mau aqui fora', diz Quesia;https://www.uol.com.br/universa/noticias/redacao/2020/11/27/cantora-gospel-quesia-freitas.htm
MP investiga secretaria em SP após proposta mais alta vencer seis editais;https://www.uol.com.br/esporte/colunas/olhar-olimpico/2020/11/27/contratos-seme.htm
Palmeiras e Ramires decidem pela rescisão de contrato;https://www.uol.com.br/esporte/futebol/ultimas-noticias/2020/11/27/palmeiras-e-ramires-decidem-pela-rescisao-de-contrato-em-comum-acordo.htm
Parceira do Corinthians segue, e Globo vai a R$ 1,5 bi com futebol;https://www.uol.com.br/esporte/ultimas-noticias/2020/11/27/parceira-do-corinthians-segue-e-globo-garante-r-15-bi-com-futebol-em-2021.htm
Caminhão perde controle em rodovia e atinge ao menos dez carros Leia e assista;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/11/27/caminhao-perde-controle-na-castelo-branco-e-atinge-ao-menos-dez-carros.htm
